Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
45.2%,115.0,263.0,77.8,276.4,254.3,2.2,2%,92%,6%,28%,25%,16%,15%,16%
35.5%,113.0,234.0,79.8,239.6,252.5,2.2,5%,88%,7%,30%,24%,16%,16%,15%
31.9%,141.3,302.5,92.5,308.0,295.4,2.1,3%,92%,5%,32%,28%,17%,13%,10%
23.3%,115.1,183.3,71.6,184.0,247.3,2.1,3%,90%,7%,28%,20%,15%,16%,22%
19.9%,202.6,382.4,114.8,376.8,375.5,1.9,4%,90%,6%,31%,26%,17%,14%,12%
19.0%,138.8,247.7,95.1,248.5,292.8,2.1,4%,90%,6%,35%,26%,15%,14%,10%
18.4%,63.7,87.7,54.5,105.3,163.8,2.6,4%,90%,6%,32%,20%,13%,14%,21%
18.1%,115.2,175.3,72.6,173.5,247.5,2.1,7%,85%,8%,34%,19%,16%,13%,17%
14.9%,138.8,217.2,81.3,215.8,281.6,2.0,0%,97%,3%,34%,22%,14%,15%,15%
13.8%,241.4,430.6,125.0,410.0,419.4,1.7,9%,86%,5%,33%,25%,16%,14%,12%
13.5%,115.0,167.4,76.9,163.8,246.7,2.1,6%,89%,5%,28%,25%,17%,14%,16%
12.9%,237.7,433.8,122.6,421.2,409.4,1.7,2%,94%,4%,32%,27%,16%,14%,10%
12.6%,136.3,202.2,79.5,188.3,278.1,2.0,2%,91%,8%,33%,28%,12%,14%,13%
12.5%,117.8,174.6,81.6,165.2,250.4,2.1,17%,82%,1%,32%,22%,17%,13%,15%
12.2%,61.1,75.2,52.5,95.9,160.8,2.6,3%,92%,4%,31%,20%,15%,15%,19%
11.9%,66.0,83.1,54.0,101.0,169.5,2.6,7%,88%,4%,37%,20%,13%,13%,17%
11.9%,206.8,345.1,116.7,335.5,379.4,1.8,9%,86%,5%,34%,25%,16%,15%,11%
11.4%,78.4,99.7,58.7,118.2,190.5,2.4,2%,94%,4%,35%,21%,14%,14%,16%
11.2%,116.9,170.0,88.6,159.6,256.2,2.2,5%,91%,3%,26%,20%,16%,16%,22%
11.2%,138.2,212.6,102.5,204.3,292.2,2.1,5%,90%,5%,33%,25%,15%,14%,14%
10.9%,112.8,146.5,75.3,175.1,244.9,2.2,2%,95%,3%,27%,26%,17%,17%,12%
10.4%,156.0,208.7,94.9,198.0,307.1,2.0,7%,83%,10%,29%,23%,17%,13%,17%
10.1%,47.4,75.2,55.8,89.5,147.8,3.1,8%,88%,5%,33%,24%,13%,13%,17%
10.0%,89.7,110.0,62.9,124.8,208.2,2.3,4%,93%,3%,30%,23%,15%,15%,18%
10.0%,127.3,163.7,76.8,168.9,265.6,2.1,2%,91%,7%,35%,21%,15%,13%,16%
9.3%,137.6,160.3,81.4,163.8,278.8,2.0,29%,69%,1%,27%,15%,15%,18%,25%
9.2%,143.4,173.9,83.7,177.7,286.9,2.0,18%,81%,1%,26%,17%,15%,18%,24%
9.1%,72.0,87.6,58.4,107.6,180.2,2.5,3%,92%,5%,36%,23%,15%,14%,13%
8.9%,128.8,166.8,87.8,195.3,272.9,2.1,3%,93%,3%,32%,26%,17%,12%,13%
8.8%,89.0,117.4,76.4,138.1,213.6,2.4,4%,92%,4%,34%,23%,15%,14%,13%
8.8%,129.8,162.2,80.8,191.1,269.4,2.1,3%,93%,3%,36%,25%,14%,12%,13%
8.8%,85.4,104.2,65.5,125.0,202.1,2.4,3%,94%,4%,33%,24%,16%,14%,13%
8.8%,145.7,196.1,90.5,192.8,290.4,2.0,2%,92%,7%,35%,23%,15%,12%,14%
8.6%,52.3,66.1,49.4,84.7,150.4,2.9,5%,92%,3%,28%,21%,15%,18%,17%
8.5%,74.9,97.1,65.7,115.9,191.0,2.6,9%,88%,3%,31%,25%,16%,17%,11%
8.5%,124.4,153.6,80.0,183.3,261.2,2.1,3%,94%,4%,31%,27%,19%,12%,12%
8.5%,90.7,112.8,65.7,133.0,210.8,2.3,5%,91%,3%,39%,24%,13%,13%,12%
