Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
0.0%,10.1,18.2,42.2,32.1,101.8,10.1,13%,82%,4%,26%,20%,16%,18%,20%
1.5%,51.5,71.5,63.3,131.7,180.0,3.5,5%,90%,4%,19%,19%,16%,21%,24%
0.4%,34.0,51.3,58.9,58.0,148.9,4.4,9%,87%,4%,24%,21%,17%,19%,20%
0.1%,10.8,21.3,44.5,37.6,105.9,9.8,26%,70%,3%,30%,21%,16%,17%,16%
0.1%,16.9,31.4,50.6,57.7,122.5,7.2,14%,82%,5%,30%,22%,15%,16%,16%
0.1%,21.2,32.3,53.7,68.4,132.6,6.3,21%,75%,4%,30%,20%,16%,17%,16%
0.1%,9.7,19.5,40.9,31.9,97.3,10.0,13%,82%,5%,14%,31%,33%,11%,11%
0.1%,21.8,35.5,55.0,48.1,133.1,6.1,11%,86%,3%,20%,17%,14%,21%,28%
3.8%,41.9,59.4,63.4,129.7,163.1,3.9,10%,86%,4%,20%,18%,17%,21%,24%
1.5%,28.4,44.5,65.1,111.2,145.3,5.1,19%,76%,5%,27%,21%,16%,19%,18%
0.0%,9.0,19.4,43.3,26.1,95.4,10.6,10%,87%,3%,20%,19%,17%,20%,24%
0.4%,31.2,45.3,59.1,73.7,142.7,4.6,11%,85%,4%,19%,19%,15%,20%,28%
0.0%,15.2,26.5,54.1,61.7,118.8,7.8,12%,83%,5%,24%,19%,16%,18%,24%
0.7%,43.8,68.0,74.5,104.9,170.4,3.9,8%,88%,4%,22%,17%,14%,17%,30%
1.9%,45.4,62.4,73.3,136.6,171.9,3.8,10%,86%,4%,20%,17%,15%,20%,27%
9.6%,21.0,33.8,47.9,62.9,127.1,6.1,19%,76%,5%,24%,21%,17%,22%,15%
1.8%,22.2,37.3,53.3,83.8,130.6,5.9,13%,83%,4%,28%,24%,17%,18%,13%
2.7%,27.2,47.5,71.1,115.3,145.4,5.3,16%,80%,4%,25%,19%,16%,19%,21%
0.0%,13.9,25.8,45.5,42.8,115.1,8.3,13%,83%,4%,23%,19%,15%,18%,24%
0.8%,31.2,47.7,61.4,95.0,142.5,4.6,20%,76%,4%,34%,21%,15%,15%,15%
0.2%,24.4,40.0,49.0,47.9,136.4,5.6,8%,88%,4%,25%,20%,16%,19%,20%
0.1%,14.5,18.2,45.1,32.4,116.6,8.0,13%,83%,4%,21%,20%,17%,22%,21%
3.7%,33.4,52.3,55.8,85.7,146.1,4.4,11%,85%,4%,19%,17%,15%,21%,29%
0.5%,13.8,25.6,48.6,63.4,115.7,8.4,30%,65%,5%,23%,16%,14%,18%,28%
0.9%,17.3,28.9,51.6,72.6,123.7,7.2,29%,66%,5%,25%,16%,14%,18%,27%
0.2%,16.9,28.1,52.2,66.9,122.9,7.3,29%,66%,5%,24%,16%,14%,18%,28%
0.2%,24.9,38.9,54.2,65.4,138.6,5.6,9%,87%,4%,25%,21%,16%,18%,20%
1.0%,31.7,47.2,64.2,103.1,144.2,4.6,18%,78%,4%,35%,21%,14%,15%,14%
0.2%,13.1,20.7,53.5,39.5,114.8,8.8,13%,83%,4%,21%,19%,16%,20%,23%
0.5%,22.2,35.2,57.1,89.1,133.6,6.0,23%,72%,4%,29%,21%,16%,18%,17%
0.0%,6.6,16.0,43.8,28.9,81.6,12.4,11%,85%,4%,23%,21%,18%,21%,18%
0.1%,15.0,28.5,53.0,36.0,119.8,8.0,10%,86%,3%,20%,18%,16%,20%,26%
1.7%,28.3,44.9,61.8,104.8,144.2,5.1,17%,79%,4%,25%,19%,16%,20%,20%
1.5%,48.1,69.0,59.8,114.0,174.0,3.6,2%,93%,5%,23%,17%,15%,17%,28%
0.0%,6.5,11.4,37.5,29.0,81.5,12.6,21%,75%,4%,26%,21%,16%,19%,19%
0.1%,22.0,34.8,53.8,60.6,132.9,6.0,11%,85%,4%,24%,21%,17%,19%,19%
0.0%,18.3,28.0,46.6,45.2,125.3,6.8,12%,83%,5%,24%,20%,16%,18%,22%
5.1%,35.5,55.6,61.5,115.0,151.1,4.3,14%,82%,4%,20%,17%,16%,20%,26%
1.4%,27.1,41.5,59.0,97.1,142.4,5.3,18%,78%,5%,38%,22%,14%,14%,13%
1.9%,39.7,60.8,57.7,95.5,158.9,4.0,12%,83%,4%,24%,18%,15%,18%,25%
0.5%,17.4,28.1,56.7,74.4,123.8,7.1,24%,72%,4%,25%,19%,15%,19%,22%
2.0%,45.4,61.3,58.4,125.1,167.7,3.7,13%,83%,3%,24%,19%,16%,21%,20%
0.1%,43.3,61.0,53.9,68.7,164.1,3.8,13%,82%,4%,28%,21%,17%,18%,16%
0.0%,9.5,20.1,41.9,33.4,98.8,10.4,17%,78%,4%,34%,21%,15%,15%,14%
0.0%,8.4,15.8,36.6,29.3,91.9,10.9,18%,77%,4%,34%,21%,15%,15%,14%
0.2%,18.0,30.4,44.9,70.1,122.7,6.8,14%,82%,4%,33%,21%,16%,16%,15%
0.1%,4.1,8.2,41.2,16.3,61.5,15.2,14%,80%,6%,23%,29%,29%,9%,9%
0.2%,31.9,42.2,51.4,65.4,142.0,4.5,15%,81%,4%,24%,18%,15%,19%,23%
5.0%,36.1,53.7,63.7,117.7,152.0,4.2,9%,86%,5%,24%,18%,16%,19%,23%
1.1%,20.4,34.0,56.3,95.7,127.4,6.2,14%,81%,5%,29%,21%,16%,17%,17%
0.0%,18.7,33.1,43.9,42.4,124.1,6.6,15%,80%,4%,25%,20%,17%,19%,20%
0.0%,21.6,30.7,50.3,50.4,130.4,6.0,20%,76%,5%,28%,20%,15%,17%,20%
0.0%,5.4,7.2,37.8,26.3,72.4,13.5,25%,71%,3%,30%,21%,16%,16%,17%
0.9%,33.9,52.4,61.4,85.3,147.6,4.4,10%,85%,6%,24%,17%,14%,16%,29%
3.6%,38.1,55.1,70.4,122.7,156.7,4.1,8%,87%,5%,23%,17%,15%,19%,26%
4.1%,16.0,32.3,46.2,71.0,115.8,7.2,14%,81%,5%,28%,22%,17%,19%,14%
8.4%,13.4,25.9,43.4,64.0,108.9,8.1,6%,85%,9%,32%,24%,16%,17%,12%
7.2%,23.9,49.9,49.2,102.8,134.3,5.6,20%,76%,4%,27%,20%,16%,18%,20%
0.0%,11.1,14.2,42.0,28.6,103.9,9.3,16%,79%,5%,30%,20%,15%,16%,18%
0.1%,21.3,33.7,54.9,72.7,129.6,6.1,13%,83%,5%,37%,21%,14%,13%,13%
0.3%,32.3,50.8,50.4,60.5,143.1,4.4,12%,84%,5%,28%,20%,16%,18%,18%
0.0%,22.2,28.7,67.6,43.7,135.7,6.1,16%,80%,4%,27%,21%,16%,19%,18%
0.2%,23.3,38.1,56.5,63.2,135.4,5.8,20%,75%,5%,25%,18%,15%,18%,24%
0.0%,5.1,12.4,40.9,34.9,71.5,14.1,22%,71%,6%,29%,18%,14%,15%,24%
0.0%,8.0,14.2,52.7,58.0,90.3,11.3,19%,74%,6%,32%,18%,14%,15%,21%
0.0%,7.0,13.0,40.8,36.4,84.1,12.0,20%,74%,6%,31%,18%,14%,15%,22%
0.0%,16.1,25.0,56.7,37.6,121.6,7.6,19%,77%,4%,30%,21%,16%,17%,17%
0.3%,22.1,34.6,54.1,81.6,131.3,5.9,12%,83%,5%,37%,21%,14%,14%,14%
0.0%,16.3,22.9,41.3,35.4,119.4,7.3,17%,79%,4%,27%,21%,16%,18%,19%
0.8%,15.5,26.7,52.1,82.9,118.4,7.6,15%,81%,5%,32%,22%,16%,16%,14%
0.0%,10.1,15.6,40.8,29.2,100.7,10.0,18%,77%,5%,30%,22%,17%,17%,13%
0.1%,23.2,41.5,48.5,56.8,133.6,5.7,13%,83%,4%,25%,19%,16%,18%,22%
3.5%,22.8,39.8,51.8,95.6,132.5,5.8,11%,84%,5%,26%,19%,16%,19%,21%
2.9%,38.7,55.4,57.4,104.5,156.1,4.0,7%,87%,6%,26%,16%,14%,15%,29%
0.1%,5.4,13.0,37.3,24.8,74.2,13.7,12%,83%,5%,30%,19%,15%,18%,18%
0.0%,12.1,19.1,53.9,33.3,110.0,9.1,19%,77%,4%,30%,21%,16%,17%,16%
0.0%,8.2,13.8,38.8,29.2,89.6,11.0,24%,72%,4%,30%,21%,16%,16%,17%
3.3%,28.9,45.3,56.4,107.9,144.0,5.0,10%,85%,5%,25%,17%,15%,18%,25%
0.6%,17.6,28.1,55.3,80.9,122.8,7.0,13%,82%,5%,44%,21%,13%,12%,9%
0.5%,29.7,46.6,51.1,76.1,144.8,4.9,10%,86%,5%,27%,19%,15%,16%,24%
0.0%,9.2,15.1,53.7,60.9,96.7,10.5,14%,81%,5%,33%,21%,15%,16%,15%
1.3%,68.5,115.3,71.5,153.0,214.8,3.1,4%,92%,5%,23%,18%,17%,21%,21%
1.2%,40.8,49.6,69.1,114.3,160.7,3.9,12%,83%,4%,26%,19%,16%,20%,19%
1.6%,48.4,63.7,58.7,128.1,173.5,3.6,6%,89%,5%,27%,21%,16%,19%,18%
0.6%,30.9,39.3,56.2,92.4,148.8,4.8,15%,81%,4%,24%,19%,17%,21%,20%
6.1%,49.3,64.9,54.8,115.4,172.1,3.5,1%,89%,10%,15%,29%,31%,13%,13%
0.9%,65.8,95.7,72.7,147.8,209.1,3.2,6%,90%,4%,18%,15%,15%,23%,29%
0.0%,9.7,14.2,17.8,26.1,99.5,10.3,,,,,,,,
0.1%,25.8,32.4,58.9,72.0,139.2,5.4,17%,79%,4%,22%,19%,16%,22%,21%
2.1%,55.0,86.4,57.9,139.4,184.4,3.4,8%,89%,3%,17%,16%,16%,22%,29%
1.6%,46.9,68.2,67.0,122.3,173.2,3.7,5%,91%,4%,18%,16%,15%,21%,30%
4.2%,41.1,50.1,58.5,128.2,160.6,3.9,12%,83%,5%,22%,18%,16%,20%,24%
5.2%,31.2,61.4,59.6,100.8,143.5,4.6,7%,89%,4%,16%,15%,14%,19%,37%
0.0%,10.0,13.3,17.9,32.4,100.6,10.0,,,,,,,,
3.0%,30.5,39.4,51.3,74.4,143.9,4.7,11%,86%,4%,22%,21%,17%,22%,18%
6.9%,33.0,41.9,51.4,74.8,141.9,4.3,18%,78%,4%,25%,23%,17%,20%,16%
0.0%,25.6,34.3,54.2,61.8,139.1,5.4,15%,81%,4%,21%,19%,17%,21%,22%
0.9%,55.7,70.0,60.5,128.4,186.1,3.3,4%,92%,4%,21%,17%,15%,19%,28%
2.3%,32.4,47.7,58.5,94.0,143.4,4.4,9%,87%,4%,27%,20%,15%,18%,20%
3.3%,55.9,104.3,56.8,144.4,186.0,3.3,1%,93%,6%,22%,18%,16%,21%,23%
0.8%,66.0,83.8,61.1,127.9,205.0,3.1,5%,89%,6%,19%,19%,17%,23%,22%
6.6%,40.0,64.7,55.4,118.2,157.9,3.9,5%,91%,4%,15%,15%,14%,23%,33%
2.6%,40.3,50.8,61.3,108.5,160.3,4.0,16%,78%,6%,21%,15%,14%,19%,31%
2.8%,38.1,47.3,61.3,104.9,155.8,4.1,14%,80%,6%,24%,15%,14%,18%,29%
2.1%,39.9,49.3,60.3,103.1,159.2,4.0,15%,79%,6%,22%,15%,14%,19%,30%
1.3%,49.2,64.7,56.7,123.4,174.8,3.6,11%,85%,4%,26%,19%,16%,19%,20%
0.8%,29.8,46.3,57.2,82.4,145.9,4.9,11%,85%,4%,26%,19%,15%,18%,22%
0.9%,61.6,79.3,62.2,139.0,195.0,3.2,11%,85%,4%,16%,18%,16%,21%,29%
0.6%,29.9,36.8,59.4,84.1,146.6,4.9,16%,80%,4%,24%,20%,17%,21%,19%
0.8%,55.0,69.3,60.4,127.3,184.6,3.4,10%,86%,4%,23%,21%,17%,21%,18%
4.1%,52.8,95.0,57.3,155.0,180.6,3.4,7%,90%,3%,18%,17%,15%,21%,29%
0.0%,23.3,31.1,58.2,67.6,134.6,5.8,16%,80%,4%,20%,19%,17%,22%,22%
13.1%,24.1,65.5,43.9,96.2,135.1,5.6,3%,91%,6%,18%,15%,15%,19%,34%
1.5%,45.5,57.4,57.5,123.2,169.0,3.7,7%,89%,4%,23%,19%,16%,21%,21%
1.9%,43.4,54.8,59.9,116.8,164.8,3.8,7%,89%,4%,21%,19%,17%,21%,22%
3.4%,41.1,52.4,59.1,120.6,160.5,3.9,9%,86%,5%,22%,19%,16%,20%,23%
0.0%,16.5,22.2,62.9,33.5,126.8,7.7,16%,80%,4%,20%,19%,17%,22%,23%
0.4%,31.5,41.8,59.1,80.5,142.2,4.5,12%,84%,4%,34%,20%,14%,17%,15%
7.7%,32.7,58.3,51.7,98.6,143.8,4.4,5%,90%,5%,17%,15%,14%,19%,34%
1.5%,36.3,44.2,64.3,98.0,151.9,4.2,15%,81%,5%,24%,20%,16%,20%,20%
2.7%,37.2,73.6,59.4,89.4,153.7,4.1,11%,85%,4%,34%,22%,15%,15%,14%
0.3%,50.9,66.0,57.5,81.1,177.8,3.5,11%,85%,4%,31%,22%,16%,16%,14%
2.9%,41.6,82.8,73.0,116.8,165.5,4.0,8%,88%,4%,30%,20%,16%,17%,17%
0.7%,43.7,57.8,52.9,64.1,162.6,3.7,10%,85%,5%,17%,31%,33%,11%,9%
0.0%,14.8,22.0,19.7,35.1,115.1,7.8,,,,,,,,
2.1%,59.8,107.7,67.9,153.0,195.8,3.3,4%,91%,5%,22%,18%,17%,21%,23%
1.3%,54.6,90.4,81.6,131.7,188.8,3.5,7%,88%,5%,26%,21%,17%,19%,18%
0.0%,25.1,32.2,66.5,41.9,145.6,5.8,13%,83%,4%,33%,23%,16%,17%,11%
0.2%,64.9,81.8,68.8,97.1,203.4,3.1,9%,87%,4%,22%,18%,16%,19%,25%
0.5%,47.2,71.6,64.0,92.2,173.5,3.7,12%,84%,4%,27%,21%,16%,17%,18%
0.0%,73.6,110.8,42.0,141.0,219.6,3.0,,,,,,,,
1.5%,67.0,109.8,61.8,149.1,206.8,3.1,12%,84%,4%,19%,16%,14%,19%,32%
5.9%,44.4,85.6,63.0,119.8,165.3,3.7,15%,81%,4%,27%,23%,18%,19%,14%
2.1%,51.3,81.3,58.0,112.3,175.9,3.4,5%,88%,7%,30%,24%,17%,16%,12%
10.7%,44.4,97.4,57.1,152.7,165.9,3.7,4%,93%,3%,29%,20%,15%,17%,19%
0.3%,46.9,61.8,56.3,76.0,171.2,3.6,13%,83%,4%,25%,20%,16%,18%,21%
0.6%,61.5,90.9,83.4,119.9,199.0,3.2,8%,87%,5%,35%,22%,15%,14%,13%
0.0%,13.1,18.2,19.0,29.2,110.4,8.5,,,,,,,,
0.0%,34.4,51.2,71.4,64.6,156.8,4.6,13%,83%,4%,24%,21%,18%,21%,17%
0.5%,65.9,91.7,75.4,111.5,207.8,3.2,7%,88%,4%,21%,18%,15%,20%,26%
1.1%,45.0,72.1,64.8,95.3,170.1,3.8,12%,82%,5%,25%,17%,15%,17%,26%
1.4%,48.1,78.3,66.3,106.3,175.5,3.6,12%,83%,5%,27%,17%,15%,16%,25%
0.9%,48.7,74.4,65.3,98.4,176.1,3.6,12%,83%,5%,26%,17%,15%,17%,26%
0.2%,58.9,74.4,63.4,90.9,191.4,3.2,10%,86%,4%,25%,20%,17%,19%,20%
0.6%,61.0,91.3,84.8,123.9,198.7,3.3,7%,88%,5%,36%,22%,15%,14%,12%
0.2%,42.0,56.4,54.6,74.2,162.3,3.9,15%,81%,4%,23%,20%,17%,19%,21%
