Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
7.0%,26.9,39.4,37.5,76.4,116.5,4.3,56%,40%,4%,31%,22%,15%,15%,17%
3.7%,39.5,49.7,48.3,89.4,133.3,3.4,33%,65%,3%,32%,23%,16%,15%,15%
4.5%,35.4,43.1,40.6,73.6,125.9,3.6,47%,44%,9%,30%,23%,16%,15%,17%
2.5%,26.9,36.1,41.9,69.9,117.0,4.4,39%,59%,2%,32%,22%,14%,15%,18%
3.6%,40.4,58.3,52.3,82.8,138.3,3.4,39%,52%,9%,29%,21%,17%,15%,19%
1.6%,24.2,28.6,36.1,58.2,110.4,4.6,56%,40%,4%,35%,23%,14%,14%,15%
1.8%,31.3,37.7,42.7,70.4,119.4,3.8,42%,56%,2%,34%,22%,17%,14%,13%
0.8%,14.5,20.7,34.0,49.3,85.9,5.9,33%,64%,3%,34%,23%,15%,14%,14%
1.2%,18.6,24.6,33.5,51.1,97.5,5.3,49%,46%,5%,32%,23%,15%,15%,15%
2.2%,38.5,47.4,43.9,71.2,131.4,3.4,45%,53%,2%,32%,23%,16%,15%,15%
0.4%,32.7,44.1,48.2,65.0,122.4,3.7,18%,78%,4%,34%,24%,15%,15%,12%
1.2%,12.0,30.7,35.9,55.6,79.8,6.6,39%,56%,5%,32%,20%,16%,15%,16%
0.5%,17.3,22.9,35.4,50.0,93.7,5.4,41%,57%,2%,31%,22%,16%,15%,16%
4.7%,35.7,44.8,39.8,71.0,126.4,3.5,47%,51%,2%,29%,24%,14%,16%,17%
0.7%,11.0,16.5,30.6,41.7,75.9,6.9,43%,51%,6%,30%,22%,15%,16%,17%
6.5%,38.0,57.8,46.4,80.9,130.1,3.4,32%,60%,7%,29%,21%,17%,17%,16%
5.7%,32.5,58.5,52.7,81.9,126.7,3.9,33%,59%,8%,33%,21%,14%,15%,18%
1.1%,28.1,38.6,39.5,61.6,119.0,4.2,38%,57%,5%,30%,22%,15%,16%,17%
2.3%,24.3,32.0,34.4,59.7,110.5,4.5,52%,43%,5%,31%,23%,15%,15%,16%
3.5%,28.8,49.9,41.9,68.2,120.7,4.2,22%,71%,7%,34%,19%,15%,16%,16%
2.8%,33.8,47.3,47.5,70.3,125.7,3.7,27%,64%,9%,30%,20%,16%,17%,17%
1.4%,25.5,39.5,47.2,82.8,115.3,4.5,41%,57%,2%,32%,22%,15%,15%,16%
1.2%,33.0,41.3,49.7,71.5,123.0,3.7,22%,75%,3%,29%,20%,18%,15%,18%
1.5%,36.2,45.5,51.7,85.0,128.9,3.6,36%,61%,3%,32%,22%,16%,15%,15%
1.3%,25.8,41.9,39.8,67.3,115.4,4.5,16%,81%,3%,28%,20%,15%,16%,21%
1.4%,24.4,34.4,45.6,69.4,112.1,4.6,39%,57%,4%,31%,22%,15%,16%,16%
1.5%,15.7,25.2,38.0,55.2,90.4,5.7,38%,57%,5%,32%,20%,14%,16%,18%
1.8%,28.0,51.0,48.1,72.8,121.4,4.3,29%,64%,7%,33%,20%,15%,16%,16%
0.6%,22.7,32.9,40.0,59.3,107.4,4.7,38%,58%,4%,29%,20%,17%,15%,19%
0.8%,21.9,37.0,42.4,65.4,105.1,4.8,30%,66%,3%,34%,20%,15%,16%,16%
1.3%,35.1,52.5,51.5,77.8,129.8,3.7,36%,59%,5%,28%,22%,16%,16%,17%
1.2%,28.9,42.6,50.7,87.3,123.2,4.3,36%,61%,3%,32%,22%,15%,15%,16%
1.2%,36.1,51.9,52.6,87.5,129.6,3.6,35%,62%,3%,32%,22%,16%,15%,15%
0.6%,24.1,37.4,44.6,71.2,110.9,4.6,38%,59%,3%,31%,20%,16%,16%,16%
0.4%,23.4,31.7,42.9,70.6,109.1,4.7,31%,65%,3%,32%,21%,15%,15%,17%
1.5%,19.1,33.9,41.2,68.6,99.7,5.2,32%,64%,4%,33%,20%,15%,16%,16%
1.9%,62.7,82.6,53.0,87.6,163.4,2.6,36%,60%,5%,32%,20%,15%,16%,18%
3.1%,48.3,69.4,60.2,84.8,151.6,3.1,31%,54%,15%,35%,19%,13%,14%,19%
2.7%,39.1,47.0,39.9,71.0,131.9,3.4,46%,48%,6%,32%,25%,14%,14%,15%
1.9%,27.5,40.4,51.1,83.5,122.1,4.4,43%,54%,2%,30%,21%,15%,17%,17%
1.1%,20.1,34.9,41.8,60.4,101.4,5.1,26%,70%,4%,38%,19%,14%,16%,14%
0.1%,23.6,33.7,44.0,62.0,108.7,4.6,29%,67%,3%,32%,23%,16%,15%,13%
2.9%,55.9,75.4,60.0,89.1,162.1,2.9,37%,49%,14%,37%,20%,13%,13%,18%
0.6%,23.5,28.2,43.2,61.0,109.8,4.7,35%,61%,4%,33%,21%,16%,16%,15%
0.2%,21.2,30.2,38.8,55.7,103.5,4.9,22%,73%,4%,28%,21%,16%,17%,19%
