Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
3.5%,123.4,145.3,78.3,166.8,334.5,2.7,1%,96%,3%,31%,24%,15%,15%,16%
2.4%,127.8,145.9,87.9,169.0,349.1,2.7,2%,95%,4%,31%,23%,15%,15%,15%
3.2%,32.2,40.6,47.8,94.3,154.2,4.8,20%,75%,5%,29%,23%,16%,16%,16%
3.2%,36.1,46.2,50.7,94.6,163.1,4.5,10%,85%,5%,31%,24%,14%,15%,15%
0.4%,61.2,68.9,55.4,79.8,207.0,3.4,9%,87%,4%,31%,25%,16%,15%,12%
0.0%,17.1,25.0,42.2,49.3,142.3,8.3,27%,68%,5%,27%,23%,15%,16%,19%
0.9%,98.0,110.1,67.2,131.6,283.9,2.9,2%,96%,1%,33%,25%,14%,14%,13%
0.0%,11.7,18.6,36.3,33.6,117.5,10.1,32%,64%,4%,31%,23%,15%,14%,16%
2.8%,102.1,123.3,71.0,141.7,295.0,2.9,2%,96%,2%,29%,22%,15%,16%,17%
0.0%,18.6,21.6,39.4,33.2,148.4,8.0,32%,62%,6%,30%,24%,15%,15%,16%
0.1%,20.4,24.0,44.2,56.3,142.3,7.0,36%,60%,4%,32%,23%,15%,14%,16%
0.2%,18.3,29.0,44.1,59.3,148.1,8.1,35%,60%,5%,30%,24%,15%,15%,16%
0.7%,68.8,82.8,56.4,96.7,223.0,3.2,9%,89%,2%,31%,26%,15%,15%,13%
3.1%,33.3,49.4,48.6,80.8,155.9,4.7,26%,69%,5%,34%,23%,14%,14%,15%
0.1%,26.3,32.4,49.1,63.6,162.4,6.2,23%,73%,4%,33%,23%,16%,15%,13%
0.0%,9.8,12.6,34.5,23.0,121.0,12.4,34%,61%,4%,27%,22%,15%,16%,19%
0.6%,83.0,90.1,65.5,106.7,254.1,3.1,5%,92%,3%,34%,24%,14%,15%,13%
0.7%,89.9,100.1,66.7,117.2,268.1,3.0,4%,94%,2%,32%,25%,15%,14%,14%
0.0%,18.5,23.4,45.1,51.8,148.1,8.0,34%,61%,5%,28%,22%,16%,15%,19%
0.0%,13.8,24.9,38.6,36.6,128.1,9.3,37%,58%,5%,29%,22%,15%,15%,19%
0.1%,24.0,27.3,45.2,63.4,155.2,6.5,33%,63%,3%,30%,23%,15%,16%,17%
0.1%,28.4,34.6,47.4,64.1,170.9,6.0,18%,78%,4%,34%,24%,16%,14%,12%
0.0%,18.2,21.8,39.1,33.3,146.9,8.1,38%,56%,6%,30%,22%,15%,15%,17%
2.5%,37.9,48.7,48.2,83.1,165.6,4.4,26%,68%,6%,31%,23%,14%,15%,16%
3.0%,45.5,56.8,52.8,115.8,179.8,4.0,10%,87%,3%,31%,24%,15%,15%,15%
0.0%,9.4,10.8,35.5,18.3,118.6,12.6,32%,63%,4%,29%,23%,16%,16%,17%
0.3%,26.9,37.7,49.5,72.4,164.1,6.1,25%,71%,4%,34%,23%,14%,14%,15%
2.8%,76.3,93.7,59.1,149.8,239.6,3.1,2%,96%,2%,33%,25%,15%,15%,13%
2.7%,88.1,110.4,64.2,124.6,264.5,3.0,2%,94%,3%,29%,25%,13%,15%,17%
2.6%,81.7,97.6,60.9,124.3,251.1,3.1,6%,91%,3%,29%,24%,15%,15%,17%
4.4%,53.1,93.0,51.8,121.4,213.9,4.0,10%,88%,2%,32%,23%,14%,16%,16%
0.7%,25.4,37.6,44.7,74.5,158.9,6.3,26%,70%,3%,31%,24%,14%,15%,16%
0.0%,18.5,24.1,44.0,51.4,148.5,8.0,31%,63%,6%,29%,23%,15%,16%,17%
1.2%,31.3,38.6,48.3,74.8,152.0,4.9,34%,60%,6%,31%,22%,15%,15%,17%
1.6%,39.9,50.2,50.5,81.5,169.5,4.2,25%,69%,5%,32%,23%,15%,15%,16%
0.9%,87.1,96.4,65.1,111.5,263.0,3.0,3%,94%,3%,32%,24%,14%,16%,14%
7.6%,185.5,219.3,97.2,236.9,444.8,2.4,3%,91%,6%,33%,23%,13%,15%,16%
3.3%,109.9,129.9,70.9,169.2,310.1,2.8,1%,95%,4%,33%,24%,15%,15%,14%
3.7%,117.8,134.7,74.5,171.7,324.7,2.8,1%,93%,6%,31%,25%,15%,15%,13%
1.5%,54.6,66.1,53.9,114.9,195.5,3.6,4%,94%,2%,33%,25%,14%,15%,13%
4.3%,163.0,185.2,89.6,210.2,406.6,2.5,1%,96%,3%,36%,24%,14%,14%,13%
3.7%,33.2,40.0,48.7,89.7,156.1,4.7,17%,77%,6%,26%,20%,14%,16%,23%
0.5%,77.1,83.5,62.7,97.0,241.2,3.1,10%,87%,2%,32%,24%,14%,14%,16%
1.7%,49.2,67.4,53.7,89.2,187.3,3.8,12%,84%,4%,28%,23%,16%,17%,16%
2.8%,59.2,72.4,58.3,128.7,203.9,3.4,6%,90%,4%,28%,26%,16%,16%,14%
0.2%,23.6,31.1,45.0,61.7,153.2,6.5,36%,59%,5%,29%,22%,15%,16%,17%
4.6%,57.8,83.6,54.5,99.1,194.0,3.4,16%,78%,7%,31%,23%,15%,16%,16%
0.0%,7.2,12.4,34.6,26.1,103.7,14.4,33%,63%,3%,28%,22%,15%,16%,18%
1.8%,100.9,113.0,88.2,147.4,304.1,3.0,7%,89%,4%,29%,20%,15%,16%,19%
0.7%,93.5,101.9,80.3,113.4,287.2,3.1,18%,78%,4%,28%,21%,16%,17%,18%
6.7%,188.7,230.7,107.7,246.3,451.0,2.4,1%,96%,3%,28%,22%,19%,16%,15%
2.4%,125.3,158.2,99.2,174.8,349.4,2.8,2%,95%,3%,31%,22%,15%,15%,16%
4.1%,225.8,271.9,143.1,273.0,522.5,2.3,1%,97%,3%,40%,25%,12%,11%,12%
8.1%,117.5,145.7,80.1,156.5,325.6,2.8,1%,83%,16%,30%,22%,16%,15%,18%
